profile_mat,csv_out,status,stop_time_s,matread_s,simulate_s,extract_s,write_s,total_run_s,result_base
drum_profile_00948.mat,results_drum_profile_00948.csv,OK,200.000000,0.007002,2.076476,0.630231,0.033053,2.751763,run_00948
drum_profile_00949.mat,results_drum_profile_00949.csv,OK,200.000000,0.007998,1.872595,0.615005,0.033999,2.535376,run_00949
drum_profile_00950.mat,results_drum_profile_00950.csv,OK,200.000000,0.009000,2.054039,0.614994,0.033995,2.717031,run_00950
drum_profile_00951.mat,results_drum_profile_00951.csv,OK,200.000000,0.008000,2.038376,0.617253,0.035999,2.704628,run_00951
drum_profile_00952.mat,results_drum_profile_00952.csv,OK,200.000000,0.008002,1.977071,0.635992,0.034999,2.665061,run_00952
drum_profile_00953.mat,results_drum_profile_00953.csv,OK,200.000000,0.008249,2.034582,0.621338,0.035001,2.704923,run_00953
drum_profile_00954.mat,results_drum_profile_00954.csv,OK,200.000000,0.009998,1.991246,0.610991,0.034000,2.651235,run_00954
drum_profile_00955.mat,results_drum_profile_00955.csv,OK,200.000000,0.008001,1.857533,0.622992,0.034002,2.527529,run_00955
drum_profile_00956.mat,results_drum_profile_00956.csv,OK,200.000000,0.006885,1.870935,0.623178,0.034050,2.541164,run_00956
drum_profile_00957.mat,results_drum_profile_00957.csv,OK,200.000000,0.008004,1.979124,0.612993,0.033999,2.639118,run_00957
drum_profile_00958.mat,results_drum_profile_00958.csv,OK,200.000000,0.008001,1.974983,0.613990,0.033998,2.635974,run_00958
drum_profile_00959.mat,results_drum_profile_00959.csv,OK,200.000000,0.007997,1.869620,0.624156,0.033999,2.540850,run_00959
drum_profile_00960.mat,results_drum_profile_00960.csv,OK,200.000000,0.008000,2.051669,0.695114,0.034000,2.792784,run_00960
drum_profile_00961.mat,results_drum_profile_00961.csv,OK,200.000000,0.008998,2.062429,0.611992,0.034999,2.723419,run_00961
drum_profile_00962.mat,results_drum_profile_00962.csv,OK,200.000000,0.008000,1.985755,0.616011,0.034998,2.649763,run_00962
drum_profile_00963.mat,results_drum_profile_00963.csv,OK,200.000000,0.008002,1.909222,0.626990,0.035002,2.584215,run_00963
drum_profile_00964.mat,results_drum_profile_00964.csv,OK,200.000000,0.007997,1.869064,0.615262,0.034000,2.531322,run_00964
drum_profile_00965.mat,results_drum_profile_00965.csv,OK,200.000000,0.008003,2.035036,0.623228,0.035000,2.706266,run_00965
drum_profile_00966.mat,results_drum_profile_00966.csv,OK,200.000000,0.006998,1.863155,0.616992,0.034000,2.527144,run_00966
drum_profile_00967.mat,results_drum_profile_00967.csv,OK,200.000000,0.006985,2.053259,0.623049,0.034999,2.724311,run_00967
drum_profile_00968.mat,results_drum_profile_00968.csv,OK,200.000000,0.009000,2.039853,0.615992,0.034000,2.703845,run_00968
drum_profile_00969.mat,results_drum_profile_00969.csv,OK,200.000000,0.006999,1.929700,0.634992,0.033999,2.611689,run_00969
drum_profile_00970.mat,results_drum_profile_00970.csv,OK,200.000000,0.006999,1.876117,0.617993,0.033998,2.541111,run_00970
drum_profile_00971.mat,results_drum_profile_00971.csv,OK,200.000000,0.006999,1.968726,0.620992,0.039997,2.643714,run_00971
drum_profile_00972.mat,results_drum_profile_00972.csv,OK,200.000000,0.008998,1.984628,0.622158,0.033997,2.654780,run_00972
drum_profile_00973.mat,results_drum_profile_00973.csv,OK,200.000000,0.008002,2.005511,0.620992,0.035000,2.674505,run_00973
drum_profile_00974.mat,results_drum_profile_00974.csv,OK,200.000000,0.009000,1.848534,0.608088,0.034002,2.504624,run_00974
drum_profile_00975.mat,results_drum_profile_00975.csv,OK,200.000000,0.007998,1.997253,0.606992,0.035000,2.652243,run_00975
drum_profile_00976.mat,results_drum_profile_00976.csv,OK,200.000000,0.008000,1.873022,0.616992,0.035000,2.538014,run_00976
drum_profile_00977.mat,results_drum_profile_00977.csv,OK,200.000000,0.009000,1.994976,0.621993,0.035000,2.664968,run_00977
drum_profile_00978.mat,results_drum_profile_00978.csv,OK,200.000000,0.008003,1.869967,0.612989,0.034000,2.529962,run_00978
drum_profile_00979.mat,results_drum_profile_00979.csv,OK,200.000000,0.006925,2.051400,0.618242,0.034000,2.717644,run_00979
drum_profile_00980.mat,results_drum_profile_00980.csv,OK,200.000000,0.008000,1.998550,0.625358,0.034997,2.671904,run_00980
drum_profile_00981.mat,results_drum_profile_00981.csv,OK,200.000000,0.008001,1.870917,0.609044,0.033997,2.526959,run_00981
drum_profile_00982.mat,results_drum_profile_00982.csv,OK,200.000000,0.007998,2.065481,0.619046,0.034059,2.732586,run_00982
drum_profile_00983.mat,results_drum_profile_00983.csv,OK,200.000000,0.007997,1.982465,0.630992,0.034000,2.661453,run_00983
drum_profile_00984.mat,results_drum_profile_00984.csv,OK,200.000000,0.007274,1.998984,0.614994,0.033997,2.660977,run_00984
drum_profile_00985.mat,results_drum_profile_00985.csv,OK,200.000000,0.007153,2.010689,0.628054,0.034000,2.686741,run_00985
drum_profile_00986.mat,results_drum_profile_00986.csv,OK,200.000000,0.008000,2.003276,0.612990,0.033999,2.664265,run_00986
drum_profile_00987.mat,results_drum_profile_00987.csv,OK,200.000000,0.006957,2.032954,0.612008,0.034000,2.691967,run_00987
drum_profile_00988.mat,results_drum_profile_00988.csv,OK,200.000000,0.007999,2.024628,0.610068,0.035003,2.682698,run_00988
drum_profile_00989.mat,results_drum_profile_00989.csv,OK,200.000000,0.007999,2.082990,0.623989,0.034000,2.754979,run_00989
