profile_mat,csv_out,status,stop_time_s,matread_s,simulate_s,extract_s,write_s,total_run_s,result_base
drum_profile_01904.mat,results_drum_profile_01904.csv,OK,200.000000,0.008001,2.204450,0.623996,0.034999,2.876446,run_01904
drum_profile_01905.mat,results_drum_profile_01905.csv,OK,200.000000,0.009001,2.221710,0.598993,0.035000,2.869706,run_01905
drum_profile_01906.mat,results_drum_profile_01906.csv,OK,200.000000,0.006998,2.067059,0.610993,0.036001,2.728051,run_01906
drum_profile_01907.mat,results_drum_profile_01907.csv,OK,200.000000,0.007000,2.217426,0.618995,0.033998,2.882419,run_01907
drum_profile_01908.mat,results_drum_profile_01908.csv,OK,200.000000,0.006999,2.268912,0.613998,0.033999,2.930904,run_01908
drum_profile_01909.mat,results_drum_profile_01909.csv,OK,200.000000,0.008007,2.211479,0.610994,0.034002,2.869481,run_01909
drum_profile_01910.mat,results_drum_profile_01910.csv,OK,200.000000,0.006995,2.234066,0.620991,0.036000,2.904056,run_01910
drum_profile_01911.mat,results_drum_profile_01911.csv,OK,200.000000,0.007000,2.259751,0.605996,0.035000,2.912745,run_01911
drum_profile_01912.mat,results_drum_profile_01912.csv,OK,200.000000,0.008000,2.206366,0.609996,0.034000,2.863362,run_01912
drum_profile_01913.mat,results_drum_profile_01913.csv,OK,200.000000,0.006997,2.216682,0.609997,0.034998,2.874675,run_01913
drum_profile_01914.mat,results_drum_profile_01914.csv,OK,200.000000,0.007998,2.151142,0.601994,0.034003,2.800135,run_01914
drum_profile_01915.mat,results_drum_profile_01915.csv,OK,200.000000,0.006994,2.184368,0.629995,0.034999,2.862360,run_01915
drum_profile_01916.mat,results_drum_profile_01916.csv,OK,200.000000,0.007000,2.202964,0.603995,0.033999,2.851959,run_01916
drum_profile_01917.mat,results_drum_profile_01917.csv,OK,200.000000,0.008000,2.072949,0.612998,0.033997,2.732941,run_01917
drum_profile_01918.mat,results_drum_profile_01918.csv,OK,200.000000,0.007998,2.060019,0.614997,0.033998,2.722012,run_01918
drum_profile_01919.mat,results_drum_profile_01919.csv,OK,200.000000,0.006999,2.192926,0.616994,0.034000,2.854921,run_01919
drum_profile_01920.mat,results_drum_profile_01920.csv,OK,200.000000,0.007000,2.048780,0.611995,0.034000,2.707775,run_01920
